%EXPORT Omega Engineering Data                  ,,,,,
%FORMAT CSV                                     ,,,,,
%VERSION 2.00.63                                ,,,,,
%BEGIN,,,,,
,,,,,
# Reading Number #, # Date and Time (CDT) #, # Pulses (GPH) #, # Annotation 0 #, # Annotation #,
1,4/7/2016 11:56,9.268292683,,,
2,4/7/2016 11:56,5.365853659,,,
3,4/7/2016 11:56,5.853658537,,,
4,4/7/2016 11:56,5.853658537,,,
5,4/7/2016 11:56,5.365853659,,,
6,4/7/2016 11:56,5.365853659,,,
7,4/7/2016 11:56,5.609756098,,,5.514316013
8,4/7/2016 11:56,1.463414634,,,
9,4/7/2016 11:56,9.512195122,,,
10,4/7/2016 11:56,5.365853659,,,
11,4/7/2016 11:56,5.365853659,,,
12,4/7/2016 11:56,5.12195122,,,
13,4/7/2016 11:56,5.12195122,,,
14,4/7/2016 11:56,5.12195122,,,
15,4/7/2016 11:56,5.609756098,,,
16,4/7/2016 11:56,1.707317073,,,
17,4/7/2016 11:56,8.780487805,,,
18,4/7/2016 11:56,4.87804878,,,
19,4/7/2016 11:56,5.12195122,,,
20,4/7/2016 11:56,5.365853659,,,
21,4/7/2016 11:56,5.12195122,,,
22,4/7/2016 11:56,5.12195122,,,
23,4/7/2016 11:56,5.365853659,,,
