%EXPORT Omega Engineering Data                  ,,,,
%FORMAT CSV                                     ,,,,
%VERSION 2.00.63                                ,,,,
%BEGIN,,,,
,,,,
# Reading Number #, # Date and Time (CST) #, # Pulses (GPH) #, # Annotation 0 #, # Annotation #
1,3/7/2016 15:11,22.43902439,,
2,3/7/2016 15:11,10.48780488,,
3,3/7/2016 15:11,10.48780488,,
4,3/7/2016 15:11,10,,
5,3/7/2016 15:11,21.70731707,,
6,3/7/2016 15:11,3.902439024,,
7,3/7/2016 15:11,5.853658537,,
8,3/7/2016 15:11,10.48780488,,
9,3/7/2016 15:11,9.024390244,,
10,3/7/2016 15:11,10.48780488,,
11,3/7/2016 15:11,8.292682927,,
12,3/7/2016 15:11,5.853658537,,
13,3/7/2016 15:11,12.68292683,,
14,3/7/2016 15:11,1.951219512,,
15,3/7/2016 15:11,4.146341463,,
16,3/7/2016 15:11,5.853658537,,
17,3/7/2016 15:11,5.609756098,,
18,3/7/2016 15:11,5.609756098,,
19,3/7/2016 15:11,5.609756098,,
20,3/7/2016 15:11,5.853658537,,
21,3/7/2016 15:11,10.73170732,,6.657101865
22,3/7/2016 15:11,1.951219512,,1.657101865
23,3/7/2016 15:11,3.170731707,,0.016571019
