%EXPORT Omega Engineering Data                  
%FORMAT CSV                                     
%VERSION 2.00.63                                
%BEGIN

# Reading Number #, # Date and Time (CST) #, # Pulses (GPH) #, # Annotation 0 #, # Annotation #
"1","2016-03-07 15:25:38","+21.46341463415","",""
"2","2016-03-07 15:25:39","+0","",""
"3","2016-03-07 15:25:39","+0","",""
"4","2016-03-07 15:25:41","+0","",""
"5","2016-03-07 15:25:42","+0","",""
"6","2016-03-07 15:25:42","+0","",""
"7","2016-03-07 15:25:44","+0","",""
"8","2016-03-07 15:25:44","+0","",""
"9","2016-03-07 15:25:46","+0","",""
"10","2016-03-07 15:25:47","+0","",""
"11","2016-03-07 15:25:47","+0","",""
"12","2016-03-07 15:25:49","+1.707317073171","",""
"13","2016-03-07 15:25:50","+7.317073170732","",""
"14","2016-03-07 15:25:50","+0.9756097560976","",""
"15","2016-03-07 15:25:52","+7.073170731708","",""
"16","2016-03-07 15:25:52","+1.219512195122","",""
"17","2016-03-07 15:25:53","+3.170731707317","",""
"18","2016-03-07 15:25:55","+8.536585365854","",""
"19","2016-03-07 15:25:55","+1.219512195122","",""
"20","2016-03-07 15:25:57","+7.560975609756","",""
"21","2016-03-07 15:25:58","+4.146341463415","",""
"22","2016-03-07 15:25:58","+1.463414634146","",""
"23","2016-03-07 15:26:00","+8.048780487805","",""
"24","2016-03-07 15:26:00","+1.219512195122","",""
"25","2016-03-07 15:26:01","+3.414634146342","",""
"26","2016-03-07 15:26:03","+8.780487804878","",""
"27","2016-03-07 15:26:03","+1.463414634146","",""
"28","2016-03-07 15:26:05","+7.804878048781","",""
"29","2016-03-07 15:26:06","+4.390243902439","",""
"30","2016-03-07 15:26:06","+1.463414634146","",""
"31","2016-03-07 15:26:08","+7.804878048781","",""
"32","2016-03-07 15:26:08","+1.707317073171","",""
"33","2016-03-07 15:26:09","+2.926829268293","",""
"34","2016-03-07 15:26:11","+9.756097560976","",""
"35","2016-03-07 15:26:11","+1.707317073171","",""
"36","2016-03-07 15:26:13","+7.317073170732","",""
"37","2016-03-07 15:26:14","+4.878048780488","",""
"38","2016-03-07 15:26:14","+1.219512195122","",""
"39","2016-03-07 15:26:16","+8.29268292683","",""
"40","2016-03-07 15:26:16","+1.219512195122","",""
"41","2016-03-07 15:26:17","+3.414634146342","",""
"42","2016-03-07 15:26:19","+9.024390243903","",""
"43","2016-03-07 15:26:19","+0.9756097560976","",""
"44","2016-03-07 15:26:21","+8.29268292683","",""
"45","2016-03-07 15:26:22","+3.90243902439","",""
"46","2016-03-07 15:26:22","+1.219512195122","",""
"47","2016-03-07 15:26:24","+7.073170731708","",""
"48","2016-03-07 15:26:25","+3.90243902439","",""
"49","2016-03-07 15:26:25","+1.219512195122","",""
"50","2016-03-07 15:26:27","+7.317073170732","",""
"51","2016-03-07 15:26:27","+1.463414634146","",""
"52","2016-03-07 15:26:29","+7.804878048781","",""
"53","2016-03-07 15:26:30","+4.634146341464","",""
"54","2016-03-07 15:26:30","+1.463414634146","",""
"55","2016-03-07 15:26:32","+9.024390243903","",""
"56","2016-03-07 15:26:33","+4.878048780488","",""
"57","2016-03-07 15:26:33","+1.463414634146","",""
"58","2016-03-07 15:26:35","+7.560975609756","",""
"59","2016-03-07 15:26:35","+1.219512195122","",""
"60","2016-03-07 15:26:36","+3.90243902439","",""
"61","2016-03-07 15:26:38","+9.512195121952","",""
"62","2016-03-07 15:26:38","+1.463414634146","",""
"63","2016-03-07 15:26:40","+8.048780487805","",""
"64","2016-03-07 15:26:41","+5.365853658537","",""
"65","2016-03-07 15:26:41","+1.707317073171","",""
